Title,cluster
"Môi trường làm việc tốt, định hướng phát triển career path cho nhân viên",2
Một công ty nhỏ nhưng tốt,1
Rất ít Ot chỉ Ot khi có yêu cầu,3
Đánh giá đúng năng lực nhân viên,3
One of the best IT company ever!,3
Good for beginner,3
"Môi trường làm việc, đãi ngộ tốt",2
"Môi trường làm việc thoải mái, thưởng gia hạn hợp đồng",2
"Môi trường khá thoải mái, thân thiện",2
good company,3
Công ty tốt để phát triển bản thân trong lĩnh vực Blockchain,2
Công việc nhiều thử thách,3
"Công ty nhỏ, quy trình không rõ ràng",1
Làm việc ở đây bắt buộc phải nhẫn nại!,2
"Văn phòng đẹp, làm việc từ 9h",3
"Chế độ tốt, văn phòng đẹp, môi trường global",2
Bóc lột sức lao động nhân viên và chi nhánh,0
Công ty có cả dự án product và outsource,1
"Làm việc thoải mái, đề cao yếu tố con người",3
"Nơi bạn đến và chẳng muốn đi, nơi môi trường làm việc tuyệt vời",2
Blue Belt Technology,0
Nhiều cơ hội thăng tiến,1
"Môi trường làm việc trẻ trung, năng động",2
"Môi trường làm việc tốt, năng động",2
"OT nhiều, không có các hoạt động teambuilding, chỉ code và code",1
Good for new entry,3
"Good benifit, evarage salary, not suitable to fresher to learn tech",0
Good place for work,0
Không ổn lắm.,3
Good place for wor,3
Dept tuyển rất nhiều intern vào để chạy task sau đó không giữ lại,3
Embedded Software Engineer,1
Good for fresher,3
Ổn cho fresher làm việc tầm 1-2 năm,2
Great company,3
Operated by talented peoples. Workload can be highly demanding at times.,1
Great company to work,0
môi trường thích hợp cho thực tập sinh và fresher,2
"Môi trường quốc tế, đồng nghiệp hòa đồng",0
Decent for fresher,3
"Môi trường, chính sách tốt",2
Ché độ phúc lợi tốt,2
Good env for Fresher and Intern,1
Đánh giá công ty ổn,1
"đồng nghiệp nice, sếp có người này người kia",0
Công ty là môi trường tốt,2
Cty product đa quốc gia tốt,1
Công ty tốt,1
Công ty product đa quốc gia tốt,1
"good, môi trường thân thiện phù hợp phát triển bản thân",3
Một trong những cty tốt nhất mình từng làm,2
Embedded SW Engineer,1
Good Working Environment,3
Ở đâu cũng có this có that,3
Thực tập embedded,1
trải nghiệm data engineer,3
Công ty khá ok,1
Tốt cho sinh viên mới ra trường,0
Good environment,3
"Chính sách phúc lợi ok, sếp ok, đồng nghiệp ok",2
Quá chính trị,2
"Môi trường quốc tế, hợp cho người thích ổn định",3
Lương ổn. Phúc lợi tuyệt vời. Quy trình làm việc quá rườm rà,3
Môi trường ổn,3
"Môi trường quốc tế, thích hợp với những người thích sự ổn định",3
"Sếp tốt, Benefit tốt",1
Không học hỏi được công nghệ mới,1
"Great environment to grow, but low salary",0
Môi trường tốt cho những ai muôn ổn định sự nghiệp,2
Ok company,3
Vào lấy kinh nghiệm là chính,0
"anh chị hay bạn đồng nghiệp đều rất tốt, nhiệt tình giúp đỡ",0
"Công nghệ cũ, managers không có khả năng quản lý và kỹ thuật",1
Hợp cho người thích ổn định,3
"Dự án nhàn hạ, phù hợp nghỉ ngơi",0
"Môi trường thân thiện, thoải mái. Nhiều dự án cũ. Đãi ngộ thấp.",1
Môi trường văn hoá tốt,2
"chế độ tốt, cơ hội học hỏi có nhưng ít",2
"Không khuyến khích cho fresher, junior",1
"Môi trường thoải mái, benefit tốt",2
Bình thường,2
Công ty ổn,1
Danh gia Bosch,3
"Mỗi trường làm việc thân thiện, chế độ rất tốt cho nhân viên",2
Môi trường tam ổn,2
"Môi trường tốt, vui vẻ, tự hoc tự rèn, nên suy nghĩ kĩ.",3
"Sếp bạc nhược, không đủ bản lĩnh, năng lực thiếu nhưng lại hay chèn ép",3
Công việc ổn định,3
"Good benefits, Good salary",3
Cân bằng - hợp cho ai thích ổn định,3
Công ty con của Bosch Ấn,1
Môi trường ốt,2
"Thích hợp cho fresher, môi trường thoải mái",2
"Sếp tốt, Đội nhóm tuyệt vời, học hỏi được nhiều điều",2
binh thuong thoi,0
Văn phòng đẹp,3
"Môi trường gloal, thưởng tốt, lương trung bình, tăng chậm, career path ổn",3
"Tạm được. Làm 1,2 năm nên nhảy đừng ở lại lâu.",3
Lương thấp ko xứng đáng công sức,3
Một môi trường tốt cho các bạn mới ra trường hoăc cần sự ổn định,2
Môi trường thoải mái,2
"Sếp tốt, đồng nghiệp thân thiện",0
Môi trường thân thiện,3
Máy móc tốt,1
"Môi trường tốt, văn phòng đẹp",2
khong co gi phai che,3
Môi trường tốt,2
"Môi trường tốt, cơ hội phát triển nghề không cao",2
benefit good,3
Công ty tốt,1
Benifit ổn,1
đồng nghiệp nice,0
"Phúc lợi tốt, công việc hơi nhàm chán",3
Good in overall,3
theo ý kiến chủ quan của tôi thì RBVH là 1 công ty tốt cho dân IT,0
"Môi trường thoải mái, lương ổn",3
Phúc lợi tốt,2
Môi trường làm việc ổn định,2
Phúc lợi tốt,2
Cuộc sống hưởng thụ,3
Good enviroment for those who wants a stable job,3
"Công ty xịn xò, nên join",1
Phúc lợi tốt,2
Công ty dành cho người già thích an nhàn,1
"Văn phòng đẹp, phúc lợi tốt",2
Công ty tạm ổn cho sinh viên mới ra trường,0
Lương thấp,3
Môi trường thử thách tốt cho các bạn muốn phát triển toàn diện,2
"Sếp chán, môi trường phúc lợi tốt",2
"Phòng đẹp,sếp chưa biết nhưng mới vào khá nice",3
Môi trường chuyên nghiệp & Phúc Lợi tốt,2
Career path and Benefit tốt,3
Ổn định nếu lâu dài,3
Dành cho các bạn vừa ra trường hoặc những người muốn ổn định về già,0
Mặt bằng chung là ổn,3
Môi trường làm việc tốt,2
"Môi trường ngon lành, sếp thân thiện",3
"Môi trường tốt, , ổn định, ít thử thách",2
"Good, friendly and nice",3
Môi trường tốt,2
"Phúc lợi tốt, lương thấp, tích lũy ít",3
"Môi trường làm việc quốc tế, nhân viên thân thiện, flexible timing.",3
"Phúc lợi tốt, tích lũy exp thấp, Ấn độ xấu tính",0
Môi trường thoải mái,2
"Công ty lớn, chế độ tốt",1
Môi trường tốt,2
"Phúc lợi tốt, giờ giấc thoải mái",2
sếp tốt quan tâm nhân viên,0
Môi trường thích hợp cho các bạn mới ra trường,0
"Môi trường làm việc rất tốt, khuôn viên tuyệt vời!",2
Phù hợp với mấy bạn intern/ Fresher,1
Phúc lợi OK. Công việc thì ngược lại,3
"Tạm ổn, học hỏi được ít hay nhiều tùy vào project",0
"Tạm ổn, tốt cho mấy bạn mới ra trường",0
Tạm ổn cho fresher,3
Phù hợp cho người thích ổn định,3
"Môi trường tệ, cẩn trọng deal lương, cẩn trọng dính bond, v..v",3
"Benefits ngon, môi trường rất tốt, văn phòng đẹp",3
"Môi trường làm việc tốt, thời gian làm việc linh động.",2
"Không phù hợp với những người thích cạnh tranh, thử thách và thay đổi",3
"Thưởng nhiều, chế độ phúc lợi siêu ngon, giờ giấc làm việc thoải mái, sếp tốt",2
công ty rất tốt,1
Môi trường ổn,3
Robert Bosch Engineering and Business Solutions,1
Giờ giấc thoải mái,2
Phong cách lai Ấn Độ và Việt Nam,1
Môi trường tốt,2
"Lương thấp, tăng chậm, sếp kém quản lý qua con số",3
Môi trường làm việc tốt,2
Lương thấp và tăng chậm,3
Công việc ổn định,3
Công việc chán chủ yếu fixed bug. Không recommend các bạn fresher,1
"Phúc lợi tốt, công việc nhàn, sếp và đồng nghiệp thân thiện",3
"Điều kiện làm việc tốt, nhưng môi trường làm việc thì tùy vào team",2
Môi Trường Phù hợp cho các bạn fresher,2
Môi trường phù hợp cho các bạn mới ra trường học hỏi,0
Môi trường làm việc tốt,2
Không dành cho những bạn fresher mới ra trường,1
Môi trường làm việc tốt,2
Tạm ổn cho người bình ổn,3
"Môi trường làm việc thoải mái, nhưng không ổn để phát triển lâu dài",2
Flexible Working Time,1
Môi trường ok,2
"Môi Trường làm việc tốt, flexible time",2
Quản lý tốt,2
Thời gian linh hoạt,2
Công ty tốt nhưng sếp thì...,1
"Môi trường quốc tế, nhưng không chuyên nghiệp",3
"Sếp quan tâm tới nhân viên, giờ giấc thoải mái, nhiều cơ hội phát triển",2
Công việc hơi chán,3
Good environment,3
"Sếp vui vẻ hòa đó, một số ít thì thích nâng bi bợ đít",0
"Môi trường làm việc chuyên nghiệp, văn hoá công ty tốt",1
Công việc lặp lại nhiều,3
Công ty ngày càng xuống cấp,1
Môi trường tốt cho những bạn thích ổn định,2
Môi trường làm việc rất ổn,2
Công ty khá tốt,1
Nhìn chung là ổn đối với người mới đi làm,3
Giờ giấc thoải mái.,2
So so company,3
Môi trường ổn cho người mới hoặc người lâu năm muốn ổn định lâu dài.,3
Phù hợp cho người muốn an phận,3
Chính sách chăm sóc tốt,2
Good working environment,3
"Công nghệ cũ, quy trình phúc tạp và văn hóa phân cấp",1
Môi trường chuyên nghiệp,3
Môi trường ổn định,3
Thích hợp cho nhựng ai thích nhàn hạ,0
Linh hoạt và thoải mái,2
"Công ty ổn, có điều việc thì hơi chán. Hợp với người thích ổn định",3
Môi trường thân thiện,3
Giờ giấc làm việc linh hoạt,2
Benefits tốt,3
Good company,3
Chi phí phúc lợi ổn. Không học được gì để phát triển bản thân.,3
Nhân viên hòa đồng,0
Cty dành cho các bạn thích ổn định,3
Phù hợp cho người làm lâu năm muốn ổn định,3
Môi trường làm việc thân thiện,2
Không có nền tảng công nghệ cụ thể,1
Môi trường Dev chuyên nghiệp,3
môi trường ok,2
"Môi trường thoải mái, công việc chủ động",2
Môi trường thích hợp cho sinh viên mới ra trường,0
lương thấp,3
Môi trường tốt cho thực tập sinh,2
Professional working environment,3
Lương quá thấp,3
"Lương thực tập ổn, lương official thấp, nhân viên tài năng không happy",1
môi trường làm việc ổn,2
Chế độ công ty rất tốt,1
"Môi trường tốt, đồng nghiệp thân thiện.",0
"Tạm ổn, thích hợp cho những ai thích ổn định",3
Điều kiện làm việc tốt,2
chính sách không tốt nên người giỏi không háo hức làm,1
"Môi trương làm việc năng động, quản lý không tốt",2
Thời gian làm việc linh hoạt,2
"bosch lương thấp, lại ko open",1
Môi trường phát triển tốt,2
"Lương thấp, công việc lập lại",3
Tốt cho người thích ổn định,3
học được những điều tuyệt vời,1
Môi trường tốt cho fresher học hỏi.,2
"sếp tốt, biết lắng nghe, đồng nghiệp thân thiện, môi trường chuyên nghiệp",0
Môi trường tốt - career path không ổn định,3
"Việc nhàn, công nghệ cũ",1
Bosch là một công ty tốt,1
moi truong lam viec nhin chung tot,3
"Môi trường làm việc tốt, % tăng lương thấp",2
Sếp tốt - phúc lợi tốt - lương bèo - việc nhàn,0
"Môi trường làm việc thân thiện, thoải mái.",2
"Môi trường làm việc tốt, phúc lợi đầy đủ, phù hợp cho fresher.",2
"Thời gian không gò bó, môi trường làm việc nhẹ nhàng",2
"Chế độ tốt, ko phù hợp với sv mới ra trường cần học hỏi kinh nghiệm",0
Mọi thứ đều ổn. Ngoại trừ khả năng tăng lương,3
Môi trường làm việc tốt,2
"Quy trình nhiều, công việc rất nhiều domain, thường phải ký bond nếu đi onsite",1
"Lương thấp, môi trường làm việc ổn, giờ làm việc thoải mái, còn OT khá nhiều",2
Môi trường làm việc tốt,2
Strong work-life balance,0
Luong than hon thi truong,3
Ổn cho người có gia đình và baby,3
Luong bong,3
"Lương đầu vào thấp, văn Phòng đẹp, Ít OT, tăng lương tạm",3
Chế độ đãi ngộ tương đối khá,1
Low salary,1
Môi trường làm việc tốt,2
"Môi trường tốt, Sếp thân thiện, không gian làm việc thoải mái",2
"Môi trường làm việc thân thiện, vui vẻ",3
"Công ty chuyên nghiệp, phúc lợi tốt, đồng nghiệp thân thiện",3
Môi trường phù hợp cho định hướng ổn định lâu dài,2
Khởi đầu cho những cơ hội tốt hơn sau này,1
không phù hợp cho người năng động,2
Good environment,3
"Phát triển tốt nghề nghiệp, cơ hội đi nước ngoài",2
Tốt cho fresher (tu luyện khoảng 2 năm) và senior đã lập gia đình,1
"Đồng nghiệp thân thiện, lương thấp",3
Good manager,3
Need to improve on HR department,0
Good benefits,3
Sếp không có khả năng quản lí,1
"Benefit is good, way of working is should be improved more",3
Môi trường làm việc tốt,2
Không hợp cho ai muốn phát triển theo hướng techical lead,0
khá tốt khá tốt khá tốt,2
"Sếp không thiệt sự lắng nghe ý kiến và đưa ra giải pháp, đồng nghiệp thân thiện",0
lương thấp so với mặt bằng chung,3
Mọi thứ đều ổn trừ lương.,3
Sếp nhiệt tình,0
Môi trường thân thiện,3
Cần OT nhiều để kịp deadline,3
"Lương tạm, đồng nghiệp tốt.",3
Không phải là môi trường phù hợp cho software developer thuần về hướng kỹ thuật,1
"Không thích hợp cho người trẻ, năng động",2
Không thích hợp cho software developer,1
"Phong cách Ấn Độ, phân biệt giai cấp, cấp manager thấp nịnh bợ cấp manager trên",0
Công việc nhiều,3
"Phát triển nghề nghiệp tốt, nhiều cơ hội đi nước ngoái",2
"Môi trường làm việc thoải mái, đồng nghiệp vui vẻ",2
Good benefit & great training,1
Great working environment,3
Normal Salary,1
"Môi trường rất tốt, thoải mái",2
Môi trường tốt,2
"Môi trường trẻ trung, năng động, cơ hội học tập và phát triển cao",2
Quản lý tệ,2
Văn hoá của công ty rất tốt,1
"Môi trường thân thiện, được cấp máy mac mini làm việc",3
Ngày nào cũng muốn đến công ty làm việc,1
Lovely environtment.,3
Good working environment,3
Great working conditions and environment,3
Chuyên nghiệp và hướng đến phát triển con người,3
Rewiew office Advesa Hanoi,3
Môi trường tốt,2
Canada company Canada working style,3
Công ty phù hợp với các bạn mới ra trường và những người muốn ổn định,3
Nice place to work and grow up your career path,0
"Công ty tốt, phù hợp với các bạn mới ra trường và các anh chị muốn ổn định",0
"Lương tăng chậm, thích hợp dưỡng già",0
"Môi trường làm việc thoải mái, cty là một chi nhánh của cty mẹ tại Pháp.",3
"Sếp tốt bụng, mọi người ai cũng hài hòa",0
Good company,3
Công việc nhàn giờ giấc thoải mái,2
"Nhiều vấn đề khó ở lại lâu (công việc, tăng lương, đ.kiện phát triển nghề)",2
Môi trường thoải mái nhưng ít dự án,2
Công việc không áp lực. Giờ giấc linh hoạt.,1
Môi trường tốt thoải mái,2
Công ty như viện dưỡng lão,1
Phù hợp với sinh viên mới ra trường,0
phù hợp cho người mới và người muốn có công việc ổn định không quá nặng nhọc,3
"Lương bèo, nghỉ thứ 7 cn, Công ty kém năng động, quản lí kém",1
Công ty của Pháp tuy khá quan liêu nhưng đãi ngộ tốt!,1
Môi trường làm việc rất tệ để phát triển về mặt chuyên môn,2
Công ty ổn,1
van phòng đẹp,3
"Môi trường làm việc tốt, văn phòng rộng, có lúc nhiều việc có lúc ít việc",2
Công ty ổn,1
"Ít dự án, ko phù hợp với ng trẻ tuổi",1
"Quản lý ko tốt, nghỉ việc sau 30 phút",1
Môi trường tạm ổn. Thích hợp cho các bạn đã giỏi và muốn ổn định cuộc sống,3
môi trường ổn định,3
văn phòng good,3
lương tăng 2%.,3
"Rất tệ, cách điều hành của bộ phận điều hành vô cùng không chuyên nghiệp",3
Công việc áp lực - lương thấp,3
"Môi trường lớn, chuyên nghiệp",3
"Môi trường Ổn định, không có nhiều chính sách phúc lợi cho nhân viên",2
"Thực tập trả lương rất thấp, sau thời gian thực tập có thể bị đuổi",3
"Sếp quản lý dự án tốt, vui vẻ hòa đồng.",0
"Công việc nhàm chán, thích hợp người muốn yên ổn",3
"Môi trường làm việc tốt, có nhiều khóa đào tạo chuyên ngành cho nhân viên mới",2
"Lương phù hợp với năng lực, số năm kinh nghiệm",3
Không phù hợp với người trẻ,2
Môi trường làm việc tốt,2
Môi trường làm việc không chuyên nghiệp và thoải mái.,2
"Môi trường tốt, nhưng tồn đọng nhiều vấn đề đáng tiếc.",2
"Công ty đang trong thời kì thay đổi, không ổn định.",1
Công việc ổn định.,3
Công ty có nhiều vấn đề gây bức xúc.,1
Môi trường làm việc thoải mái,2
Nhiều khóa training,0
Lương là vấn đề muôn thuở.,3
Môi trường tập đoàn chuyên nghiệp,3
"Thân thiện, văn phòng đẹp, có nhiều hoạt động training",3
"Mội trường làm việc tốt, có cơ học học tiếng Anh.",0
Thích hợp cho người mới ra trường và trải nghiệm,0
Đồng nghiệp không thân thiện.,3
Vấn đề về nhân sự nên được quan tâm,1
Phù hợp cho sinh viên thực tập,0
Phân công và sắp xếp công việc chưa hợp lí,3
Great working environment,3
Best Place to Work in Ho Chi Minh city,0
Các sếp hay đi trễ quá ạ.,3
Good place to launch your career,0
Công ty có những chuyển biến tích cực.,1
Nhiều trải nghiệm đáng giá và thú vị.,0
Môi trường tốt cho ai muốn cải thiện ngoại ngữ,2
Không có sự sáng tạo và năng động,2
Không thích hợp với người trẻ,2
Tôi hoàn toàn không nắm rõ được việc mình đang làm,1
Phù hợp cho ai thích ổn định,3
Không phù hợp cho các bạn thích 1 môi trường năng động.,2
"Ngột ngạt, tù túng, áp lực.",1
View đẹp - Sếp hiền,1
Một công ty tuyệt vời cho bác bạn Dev,1
"Môi trường làm việc chuyên nghiệp, process rõ ràng",3
Văn hoá tôn trọng và lắng nghe nhân viên.,1
Môi trường phù hợp với intern và fresher,1
Công ty tốt,1
"Dự án hay, nhiều cái để học hỏi",0
Làm nguyên 1 năm ko tăng 1 đồng xu lương,3
Môi trường tốt để phát triển bản thân,2
Quy trình phỏng vấn rườm rà và thiếu chuyên nghiệp,3
Công ty tốt để học và phát triển sự nghiệp,2
Mọi thứ đều ổn trừ việc bạn có được lên level hay không,1
Còn nhiều bất cập dẫn đến khó phát triển về lâu dài,0
"Công ty trẻ, năng động",2
"Chậm lương, công nghệ cũ",1
Môi trường thoả mái,3
"Môi trường thân thiện, hòa đồng",0
Môi trường làm việc chuyên nghiệp,2
Môi trường làm việc thoải mái,2
chế độ đãi ngộ tốt,1
Môi trường làm việc ổn nhưng còn nhiều bất cập,2
Mội trường ok nhưng còn nhiều bất cập,0
"Team tốt, môi trường tốt",2
Môi trường tốt,2
Môi trường OK nhưng vẫn còn nhiều bất cập,2
"1 số thứ cần cải thiện, nhưng overall là 1 công ty khá tốt ở thị trường Viet Nam",3
Sếp tốt và mọi người đều được cấp macbook,0
Great working environment,3
Được tin tưởng để trao thử thách và được hỗ trợ để phát triển hết khả năng,2
"Công ty tốt, công việc ổn định",1
"Điều kiện làm việc tốt, môi trường năng động.",2
Sếp rất quan tâm đến nhân viên,0
"MÔI TRƯỜNG ỔN, PHÚC LỢI TỐT",2
Môi trường thân thiện,3
Công ty tuyệt vời! đáng apply,2
"Sếp tốt, môi trường tốt",2
Môi trường tốt cho những bạn muốn phát triển bản thân,2
"Good company, good boss, good managers, good colleagues",3
Good place to work,0
Sếp chính thật kinh khủng,0
Công việc cần người giỏi nhưng lương phải không được cao và sếp không đúng giờ!,3
Công ty chuyên nghiệp,1
Great place to work and improve yourself,0
open for feedback and put effort to make improvement,0
"Môi trường thân thiện, sếp hoà đồng",0
Công ty tốt,1
"Công ty tốt, đồng nghiệp thân thiện",0
"Tổng thể công ty tốt, đồng nghiệp thân thiện",0
Tổng quan cty cực kì tốt,2
Công ty có môi trường làm việc tuyệt vời,2
Amazing workplace environment,3
Môi trường thân thiện và chú trọng phát triển bản thân,3
"Môi trường tốt, làm việc không bị phân chia giai cấp",2
Một nơi tuyệt vời để phát triển bán thân,2
Great place to learn and improve yourself,0
Great place to work,0
"Sếp rất tốt, môi trường thân thiện, quy trình làm việc chuẩn quốc tế",3
"Công ty phát triển bền vững, môi trường làm việc năng động",2
Môi trường làm việc thân thiện và giàu cơ hội phát triển,2
Good Workplace with Some Room for Improvement,0
Good Environment with Room for Growth,3
Average experience with potential for improvement,3
Average experience with room for growth,3
"Quản lý cởi mở, giờ làm linh hoạt và nhiều phúc lợi cho nhân viên",2
Candidate-focused company with potential for enhanced benefits,3
Chế độ ổn,3
Juinior dev,1
mọi người đoàn kết,1
